"M_Topic","L_Topic","year","mean","sd","N","norm","allwords"
"M_Topic1","L_Topic2",1962,0.00417957,0.007137563,465,1.035262846,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1963,0.00389395,0.007052893,477,0.96451591,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1964,0.005427871,0.009798859,518,1.344462083,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1965,0.004736299,0.008828818,524,1.173162561,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1966,0.005151307,0.008696834,547,1.275958373,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1967,0.004916004,0.008336607,545,1.217674679,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1968,0.005025363,0.0082276,499,1.244762451,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1969,0.00529627,0.009419631,479,1.311865076,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1970,0.004679291,0.00833234,414,1.15904184,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1971,0.005107064,0.009095544,445,1.264999535,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1972,0.005484198,0.009432418,421,1.358414129,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1973,0.004610643,0.007256466,390,1.142037995,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1974,0.005021726,0.008153908,369,1.243861701,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
